Wiggle_Index,Date,Time,Genotype,Pesticide,Dose,Rep,Location
5.0069,02Mar21,0min,TB > Cyp6g1,Malathion,40ppm,rep1,LowRight
5.9617,02Mar21,0min,TB > Cyp6g1,Malathion,40ppm,rep2,LowRight
5.7665,02Mar21,0min,TB > NULL,Bendiocarb,50ppm,rep1,LowRight
6.1359,02Mar21,0min,TB > NULL,Bendiocarb,50ppm,rep2,LowRight
5.0401,02Mar21,0min,TB > NULL,Imidacloprid,40ppm,rep1,LowRight
4.3708,02Mar21,0min,TB > NULL,Imidacloprid,40ppm,rep2,LowRight
4.5387,02Mar21,0min,TB > NULL,Malathion,40ppm,rep1,LowRight
4.0468,02Mar21,0min,TB > NULL,Malathion,40ppm,rep2,LowRight
1.7032,02Mar21,120min,TB > Cyp6g1,Bendiocarb,50ppm,rep1,LowRight
2.1506,02Mar21,120min,TB > Cyp6g1,Bendiocarb,50ppm,rep2,LowRight
4.2245,02Mar21,120min,TB > Cyp6g1,Imidacloprid,40ppm,rep1,LowRight
2.3839,02Mar21,120min,TB > Cyp6g1,Imidacloprid,40ppm,rep2,LowRight
1.0599,02Mar21,120min,TB > Cyp6g1,Malathion,40ppm,rep1,LowRight
1.2948,02Mar21,120min,TB > Cyp6g1,Malathion,40ppm,rep2,LowRight
1.7625,02Mar21,120min,TB > NULL,Bendiocarb,50ppm,rep1,LowRight
2.3645,02Mar21,120min,TB > NULL,Bendiocarb,50ppm,rep2,LowRight
5.8764,02Mar21,120min,TB > NULL,Imidacloprid,40ppm,rep1,LowRight
3.1425,02Mar21,120min,TB > NULL,Imidacloprid,40ppm,rep2,LowRight
1.8644,02Mar21,120min,TB > NULL,Malathion,40ppm,rep1,LowRight
0.976,02Mar21,120min,TB > NULL,Malathion,40ppm,rep2,LowRight
2.7255,02Mar21,15min,TB > Cyp6g1,Bendiocarb,50ppm,rep1,LowRight
2.9205,02Mar21,15min,TB > Cyp6g1,Bendiocarb,50ppm,rep2,LowRight
2.5739,02Mar21,15min,TB > Cyp6g1,Imidacloprid,40ppm,rep1,LowRight
2.0599,02Mar21,15min,TB > Cyp6g1,Imidacloprid,40ppm,rep2,LowRight
6.2477,02Mar21,15min,TB > Cyp6g1,Malathion,40ppm,rep1,LowRight
5.0885,02Mar21,15min,TB > Cyp6g1,Malathion,40ppm,rep2,LowRight
4.143,02Mar21,15min,TB > NULL,Bendiocarb,50ppm,rep1,LowRight
58.4557,02Mar21,15min,TB > NULL,Bendiocarb,50ppm,rep2,LowRight
1.8665,02Mar21,15min,TB > NULL,Imidacloprid,40ppm,rep1,LowRight
3.7347,02Mar21,15min,TB > NULL,Imidacloprid,40ppm,rep2,LowRight
7.8702,02Mar21,15min,TB > NULL,Malathion,40ppm,rep1,LowRight
4.9815,02Mar21,15min,TB > NULL,Malathion,40ppm,rep2,LowRight
1.3438,02Mar21,30min,TB > Cyp6g1,Bendiocarb,50ppm,rep1,LowRight
1.1562,02Mar21,30min,TB > Cyp6g1,Bendiocarb,50ppm,rep2,LowRight
3.4485,02Mar21,30min,TB > Cyp6g1,Imidacloprid,40ppm,rep1,LowRight
2.0635,02Mar21,30min,TB > Cyp6g1,Imidacloprid,40ppm,rep2,LowRight
3.8103,02Mar21,30min,TB > Cyp6g1,Malathion,40ppm,rep1,LowRight
5.5898,02Mar21,30min,TB > Cyp6g1,Malathion,40ppm,rep2,LowRight
2.2211,02Mar21,30min,TB > NULL,Bendiocarb,50ppm,rep1,LowRight
2.8758,02Mar21,30min,TB > NULL,Bendiocarb,50ppm,rep2,LowRight
4.4908,02Mar21,30min,TB > NULL,Imidacloprid,40ppm,rep1,LowRight
4.5224,02Mar21,30min,TB > NULL,Imidacloprid,40ppm,rep2,LowRight
2.5166,02Mar21,30min,TB > NULL,Malathion,40ppm,rep1,LowRight
3.09,02Mar21,30min,TB > NULL,Malathion,40ppm,rep2,LowRight
1.2103,02Mar21,45min,TB > Cyp6g1,Bendiocarb,50ppm,rep1,LowRight
2.1421,02Mar21,45min,TB > Cyp6g1,Bendiocarb,50ppm,rep2,LowRight
1.1777,02Mar21,45min,TB > Cyp6g1,Imidacloprid,40ppm,rep1,LowRight
2.8116,02Mar21,45min,TB > Cyp6g1,Imidacloprid,40ppm,rep2,LowRight
2.4459,02Mar21,45min,TB > Cyp6g1,Malathion,40ppm,rep1,LowRight
4.2931,02Mar21,45min,TB > Cyp6g1,Malathion,40ppm,rep2,LowRight
1.8313,02Mar21,45min,TB > NULL,Bendiocarb,50ppm,rep1,LowRight
2.4586,02Mar21,45min,TB > NULL,Bendiocarb,50ppm,rep2,LowRight
4.4433,02Mar21,45min,TB > NULL,Imidacloprid,40ppm,rep1,LowRight
5.7814,02Mar21,45min,TB > NULL,Imidacloprid,40ppm,rep2,LowRight
1.4824,02Mar21,45min,TB > NULL,Malathion,40ppm,rep1,LowRight
1.3746,02Mar21,45min,TB > NULL,Malathion,40ppm,rep2,LowRight
12.864,02Mar21,5min,TB > Cyp6g1,Bendiocarb,50ppm,rep1,LowRight
30.9406,02Mar21,5min,TB > Cyp6g1,Bendiocarb,50ppm,rep2,LowRight
33.2619,02Mar21,5min,TB > Cyp6g1,Imidacloprid,40ppm,rep1,LowRight
37.5064,02Mar21,5min,TB > Cyp6g1,Imidacloprid,40ppm,rep2,LowRight
35.4846,02Mar21,5min,TB > Cyp6g1,Malathion,40ppm,rep1,LowRight
58.7361,02Mar21,5min,TB > Cyp6g1,Malathion,40ppm,rep2,LowRight
16.2643,02Mar21,5min,TB > NULL,Bendiocarb,50ppm,rep1,LowRight
6.9763,02Mar21,5min,TB > NULL,Bendiocarb,50ppm,rep2,LowRight
22.4849,02Mar21,5min,TB > NULL,Imidacloprid,40ppm,rep1,LowRight
45.0485,02Mar21,5min,TB > NULL,Imidacloprid,40ppm,rep2,LowRight
23.7911,02Mar21,5min,TB > NULL,Malathion,40ppm,rep1,LowRight
22.2974,02Mar21,5min,TB > NULL,Malathion,40ppm,rep2,LowRight
1.4184,02Mar21,60min,TB > Cyp6g1,Bendiocarb,50ppm,rep1,LowRight
2.1079,02Mar21,60min,TB > Cyp6g1,Bendiocarb,50ppm,rep2,LowRight
4.7037,02Mar21,60min,TB > Cyp6g1,Imidacloprid,40ppm,rep2,LowRight
4.4598,02Mar21,60min,TB > Cyp6g1,Malathion,40ppm,rep2,LowRight
3.2494,02Mar21,60min,TB > NULL,Bendiocarb,50ppm,rep1,LowRight
2.9583,02Mar21,60min,TB > NULL,Bendiocarb,50ppm,rep2,LowRight
6.0269,02Mar21,60min,TB > NULL,Imidacloprid,40ppm,rep1,LowRight
4.7564,02Mar21,60min,TB > NULL,Imidacloprid,40ppm,rep2,LowRight
1.5375,02Mar21,60min,TB > NULL,Malathion,40ppm,rep1,LowRight
1.7821,02Mar21,60min,TB > NULL,Malathion,40ppm,rep2,LowRight
2.0111,02Mar21,90min,TB > Cyp6g1,Bendiocarb,50ppm,rep1,LowRight
1.6337,02Mar21,90min,TB > Cyp6g1,Bendiocarb,50ppm,rep2,LowRight
3.978,02Mar21,90min,TB > Cyp6g1,Imidacloprid,40ppm,rep1,LowRight
1.9711,02Mar21,90min,TB > Cyp6g1,Imidacloprid,40ppm,rep2,LowRight
0.833,02Mar21,90min,TB > Cyp6g1,Malathion,40ppm,rep1,LowRight
2.54,02Mar21,90min,TB > Cyp6g1,Malathion,40ppm,rep2,LowRight
2.8694,02Mar21,90min,TB > NULL,Bendiocarb,50ppm,rep1,LowRight
2.651,02Mar21,90min,TB > NULL,Bendiocarb,50ppm,rep2,LowRight
5.1159,02Mar21,90min,TB > NULL,Imidacloprid,40ppm,rep1,LowRight
2.7767,02Mar21,90min,TB > NULL,Imidacloprid,40ppm,rep2,LowRight
2.268,02Mar21,90min,TB > NULL,Malathion,40ppm,rep1,LowRight
0.9165,02Mar21,90min,TB > NULL,Malathion,40ppm,rep2,LowRight
5.4275,02Mar21,0min,TB > Cyp6g1,Bendiocarb,50ppm,rep1,TopLeft
7.7133,02Mar21,0min,TB > Cyp6g1,Bendiocarb,50ppm,rep2,TopLeft
5.1411,02Mar21,0min,TB > Cyp6g1,Imidacloprid,40ppm,rep1,TopLeft
7.7125,02Mar21,0min,TB > Cyp6g1,Imidacloprid,40ppm,rep2,TopLeft
6.4408,02Mar21,0min,TB > Cyp6g1,Malathion,40ppm,rep1,TopLeft
7.5636,02Mar21,0min,TB > Cyp6g1,Malathion,40ppm,rep2,TopLeft
6.2565,02Mar21,0min,TB > NULL,Bendiocarb,50ppm,rep1,TopLeft
5.6688,02Mar21,0min,TB > NULL,Bendiocarb,50ppm,rep2,TopLeft
6.3862,02Mar21,0min,TB > NULL,Imidacloprid,40ppm,rep1,TopLeft
4.8343,02Mar21,0min,TB > NULL,Imidacloprid,40ppm,rep2,TopLeft
5.362,02Mar21,0min,TB > NULL,Malathion,40ppm,rep1,TopLeft
7.0075,02Mar21,0min,TB > NULL,Malathion,40ppm,rep2,TopLeft
1.6301,02Mar21,120min,TB > Cyp6g1,Bendiocarb,50ppm,rep1,TopLeft
2.1239,02Mar21,120min,TB > Cyp6g1,Bendiocarb,50ppm,rep2,TopLeft
6.4453,02Mar21,120min,TB > Cyp6g1,Imidacloprid,40ppm,rep1,TopLeft
5.7851,02Mar21,120min,TB > Cyp6g1,Imidacloprid,40ppm,rep2,TopLeft
1.441,02Mar21,120min,TB > Cyp6g1,Malathion,40ppm,rep1,TopLeft
1.4364,02Mar21,120min,TB > Cyp6g1,Malathion,40ppm,rep2,TopLeft
3.2791,02Mar21,120min,TB > NULL,Bendiocarb,50ppm,rep1,TopLeft
2.1527,02Mar21,120min,TB > NULL,Bendiocarb,50ppm,rep2,TopLeft
5.0629,02Mar21,120min,TB > NULL,Imidacloprid,40ppm,rep1,TopLeft
6.8952,02Mar21,120min,TB > NULL,Imidacloprid,40ppm,rep2,TopLeft
2.0016,02Mar21,120min,TB > NULL,Malathion,40ppm,rep1,TopLeft
0.9311,02Mar21,120min,TB > NULL,Malathion,40ppm,rep2,TopLeft
3.0497,02Mar21,15min,TB > Cyp6g1,Bendiocarb,50ppm,rep1,TopLeft
3.33,02Mar21,15min,TB > Cyp6g1,Bendiocarb,50ppm,rep2,TopLeft
5.0659,02Mar21,15min,TB > Cyp6g1,Imidacloprid,40ppm,rep1,TopLeft
3.335,02Mar21,15min,TB > Cyp6g1,Imidacloprid,40ppm,rep2,TopLeft
5.6152,02Mar21,15min,TB > Cyp6g1,Malathion,40ppm,rep1,TopLeft
5.3668,02Mar21,15min,TB > Cyp6g1,Malathion,40ppm,rep2,TopLeft
4.7857,02Mar21,15min,TB > NULL,Bendiocarb,50ppm,rep1,TopLeft
59.5335,02Mar21,15min,TB > NULL,Bendiocarb,50ppm,rep2,TopLeft
2.6296,02Mar21,15min,TB > NULL,Imidacloprid,40ppm,rep1,TopLeft
3.4509,02Mar21,15min,TB > NULL,Imidacloprid,40ppm,rep2,TopLeft
5.4845,02Mar21,15min,TB > NULL,Malathion,40ppm,rep1,TopLeft
5.5584,02Mar21,15min,TB > NULL,Malathion,40ppm,rep2,TopLeft
1.8382,02Mar21,30min,TB > Cyp6g1,Bendiocarb,50ppm,rep1,TopLeft
2.1206,02Mar21,30min,TB > Cyp6g1,Bendiocarb,50ppm,rep2,TopLeft
3.5305,02Mar21,30min,TB > Cyp6g1,Imidacloprid,40ppm,rep1,TopLeft
6.4786,02Mar21,30min,TB > Cyp6g1,Imidacloprid,40ppm,rep2,TopLeft
4.6505,02Mar21,30min,TB > Cyp6g1,Malathion,40ppm,rep1,TopLeft
4.424,02Mar21,30min,TB > Cyp6g1,Malathion,40ppm,rep2,TopLeft
1.8766,02Mar21,30min,TB > NULL,Bendiocarb,50ppm,rep1,TopLeft
1.3764,02Mar21,30min,TB > NULL,Bendiocarb,50ppm,rep2,TopLeft
4.9104,02Mar21,30min,TB > NULL,Imidacloprid,40ppm,rep1,TopLeft
5.2188,02Mar21,30min,TB > NULL,Imidacloprid,40ppm,rep2,TopLeft
5.568,02Mar21,30min,TB > NULL,Malathion,40ppm,rep1,TopLeft
3.9904,02Mar21,30min,TB > NULL,Malathion,40ppm,rep2,TopLeft
2.4009,02Mar21,45min,TB > Cyp6g1,Bendiocarb,50ppm,rep1,TopLeft
1.7535,02Mar21,45min,TB > Cyp6g1,Bendiocarb,50ppm,rep2,TopLeft
5.9692,02Mar21,45min,TB > Cyp6g1,Imidacloprid,40ppm,rep1,TopLeft
8.1981,02Mar21,45min,TB > Cyp6g1,Imidacloprid,40ppm,rep2,TopLeft
3.4983,02Mar21,45min,TB > Cyp6g1,Malathion,40ppm,rep1,TopLeft
3.4577,02Mar21,45min,TB > Cyp6g1,Malathion,40ppm,rep2,TopLeft
1.6467,02Mar21,45min,TB > NULL,Bendiocarb,50ppm,rep1,TopLeft
2.2267,02Mar21,45min,TB > NULL,Bendiocarb,50ppm,rep2,TopLeft
2.961,02Mar21,45min,TB > NULL,Imidacloprid,40ppm,rep1,TopLeft
5.889,02Mar21,45min,TB > NULL,Imidacloprid,40ppm,rep2,TopLeft
2.534,02Mar21,45min,TB > NULL,Malathion,40ppm,rep1,TopLeft
2.5621,02Mar21,45min,TB > NULL,Malathion,40ppm,rep2,TopLeft
21.5777,02Mar21,5min,TB > Cyp6g1,Bendiocarb,50ppm,rep1,TopLeft
52.1774,02Mar21,5min,TB > Cyp6g1,Bendiocarb,50ppm,rep2,TopLeft
35.4725,02Mar21,5min,TB > Cyp6g1,Imidacloprid,40ppm,rep1,TopLeft
26.6314,02Mar21,5min,TB > Cyp6g1,Imidacloprid,40ppm,rep2,TopLeft
41.2512,02Mar21,5min,TB > Cyp6g1,Malathion,40ppm,rep1,TopLeft
47.9902,02Mar21,5min,TB > Cyp6g1,Malathion,40ppm,rep2,TopLeft
22.5486,02Mar21,5min,TB > NULL,Bendiocarb,50ppm,rep1,TopLeft
16.8502,02Mar21,5min,TB > NULL,Bendiocarb,50ppm,rep2,TopLeft
30.5555,02Mar21,5min,TB > NULL,Imidacloprid,40ppm,rep1,TopLeft
32.5158,02Mar21,5min,TB > NULL,Imidacloprid,40ppm,rep2,TopLeft
24.5039,02Mar21,5min,TB > NULL,Malathion,40ppm,rep1,TopLeft
27.5051,02Mar21,5min,TB > NULL,Malathion,40ppm,rep2,TopLeft
1.2934,02Mar21,60min,TB > Cyp6g1,Bendiocarb,50ppm,rep1,TopLeft
2.1005,02Mar21,60min,TB > Cyp6g1,Bendiocarb,50ppm,rep2,TopLeft
8.6529,02Mar21,60min,TB > Cyp6g1,Imidacloprid,40ppm,rep2,TopLeft
3.4188,02Mar21,60min,TB > Cyp6g1,Malathion,40ppm,rep2,TopLeft
3.4695,02Mar21,60min,TB > NULL,Bendiocarb,50ppm,rep1,TopLeft
2.1199,02Mar21,60min,TB > NULL,Bendiocarb,50ppm,rep2,TopLeft
6.2932,02Mar21,60min,TB > NULL,Imidacloprid,40ppm,rep1,TopLeft
6.3033,02Mar21,60min,TB > NULL,Imidacloprid,40ppm,rep2,TopLeft
3.6376,02Mar21,60min,TB > NULL,Malathion,40ppm,rep1,TopLeft
4.6536,02Mar21,60min,TB > NULL,Malathion,40ppm,rep2,TopLeft
1.5729,02Mar21,90min,TB > Cyp6g1,Bendiocarb,50ppm,rep1,TopLeft
3.6548,02Mar21,90min,TB > Cyp6g1,Bendiocarb,50ppm,rep2,TopLeft
4.8547,02Mar21,90min,TB > Cyp6g1,Imidacloprid,40ppm,rep1,TopLeft
6.9008,02Mar21,90min,TB > Cyp6g1,Imidacloprid,40ppm,rep2,TopLeft
0.7193,02Mar21,90min,TB > Cyp6g1,Malathion,40ppm,rep1,TopLeft
1.3326,02Mar21,90min,TB > Cyp6g1,Malathion,40ppm,rep2,TopLeft
3.632,02Mar21,90min,TB > NULL,Bendiocarb,50ppm,rep1,TopLeft
1.0662,02Mar21,90min,TB > NULL,Bendiocarb,50ppm,rep2,TopLeft
4.8469,02Mar21,90min,TB > NULL,Imidacloprid,40ppm,rep1,TopLeft
4.5766,02Mar21,90min,TB > NULL,Imidacloprid,40ppm,rep2,TopLeft
1.3422,02Mar21,90min,TB > NULL,Malathion,40ppm,rep1,TopLeft
1.4632,02Mar21,90min,TB > NULL,Malathion,40ppm,rep2,TopLeft
6.3904,02Mar21,0min,TB > Cyp6g1,Bendiocarb,50ppm,rep1,TopRight
5.2985,02Mar21,0min,TB > Cyp6g1,Bendiocarb,50ppm,rep2,TopRight
6.8314,02Mar21,0min,TB > Cyp6g1,Imidacloprid,40ppm,rep1,TopRight
3.4379,02Mar21,0min,TB > Cyp6g1,Imidacloprid,40ppm,rep2,TopRight
6.6039,02Mar21,0min,TB > Cyp6g1,Malathion,40ppm,rep1,TopRight
5.7444,02Mar21,0min,TB > Cyp6g1,Malathion,40ppm,rep2,TopRight
4.1855,02Mar21,0min,TB > NULL,Bendiocarb,50ppm,rep1,TopRight
5.8547,02Mar21,0min,TB > NULL,Bendiocarb,50ppm,rep2,TopRight
5.7825,02Mar21,0min,TB > NULL,Imidacloprid,40ppm,rep1,TopRight
6.851,02Mar21,0min,TB > NULL,Imidacloprid,40ppm,rep2,TopRight
6.6544,02Mar21,0min,TB > NULL,Malathion,40ppm,rep1,TopRight
6.1649,02Mar21,0min,TB > NULL,Malathion,40ppm,rep2,TopRight
1.7943,02Mar21,120min,TB > Cyp6g1,Bendiocarb,50ppm,rep1,TopRight
1.2607,02Mar21,120min,TB > Cyp6g1,Bendiocarb,50ppm,rep2,TopRight
4.3354,02Mar21,120min,TB > Cyp6g1,Imidacloprid,40ppm,rep1,TopRight
2.9172,02Mar21,120min,TB > Cyp6g1,Imidacloprid,40ppm,rep2,TopRight
4.4092,02Mar21,120min,TB > Cyp6g1,Malathion,40ppm,rep1,TopRight
1.1152,02Mar21,120min,TB > Cyp6g1,Malathion,40ppm,rep2,TopRight
1.6088,02Mar21,120min,TB > NULL,Bendiocarb,50ppm,rep1,TopRight
1.8946,02Mar21,120min,TB > NULL,Bendiocarb,50ppm,rep2,TopRight
4.1989,02Mar21,120min,TB > NULL,Imidacloprid,40ppm,rep1,TopRight
5.5358,02Mar21,120min,TB > NULL,Imidacloprid,40ppm,rep2,TopRight
2.9592,02Mar21,120min,TB > NULL,Malathion,40ppm,rep1,TopRight
2.2855,02Mar21,120min,TB > NULL,Malathion,40ppm,rep2,TopRight
4.0137,02Mar21,15min,TB > Cyp6g1,Bendiocarb,50ppm,rep1,TopRight
3.2811,02Mar21,15min,TB > Cyp6g1,Bendiocarb,50ppm,rep2,TopRight
4.4191,02Mar21,15min,TB > Cyp6g1,Imidacloprid,40ppm,rep1,TopRight
2.2223,02Mar21,15min,TB > Cyp6g1,Imidacloprid,40ppm,rep2,TopRight
9.3684,02Mar21,15min,TB > Cyp6g1,Malathion,40ppm,rep1,TopRight
5.5954,02Mar21,15min,TB > Cyp6g1,Malathion,40ppm,rep2,TopRight
